GEOID,x_coords,y_coords
4019004050,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[32.7179816460551, 32.67468037586588, 32.58807783548743, 32.544776565298214, 32.58807783548743, 32.67468037586588, 32.7179816460551]"
4019004046,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.41487275473055, 32.371571484541334, 32.284968944162884, 32.241667673973666, 32.284968944162884, 32.371571484541334, 32.41487275473055]"
4019004056,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.241667673973666, 32.19836640378445, 32.111763863406, 32.06846259321678, 32.111763863406, 32.19836640378445, 32.241667673973666]"
4019004057,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[31.851956242270663, 31.80865497208144, 31.722052431703, 31.678751161513777, 31.722052431703, 31.80865497208144, 31.851956242270663]"
4019004058,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.15506513359522, 32.111763863406004, 32.025161323027554, 31.981860052838336, 32.025161323027554, 32.111763863406004, 32.15506513359522]"
4019004110,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.06846259321677, 32.025161323027554, 31.938558782649107, 31.895257512459885, 31.938558782649107, 32.025161323027554, 32.06846259321677]"
4019004054,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.501475295108996, 32.45817402491978, 32.37157148454133, 32.32827021435211, 32.37157148454133, 32.45817402491978, 32.501475295108996]"
4019004310,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[31.98186005283833, 31.938558782649107, 31.851956242270663, 31.80865497208144, 31.851956242270663, 31.938558782649107, 31.98186005283833]"
4019004321,"[-111.8913, -111.8163, -111.8163, -111.8913, -111.9663, -111.9663, -111.8913]","[31.76535370189222, 31.722052431703, 31.635449891324555, 31.592148621135333, 31.635449891324555, 31.722052431703, 31.76535370189222]"
4019004112,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[31.895257512459885, 31.851956242270663, 31.76535370189222, 31.722052431703, 31.76535370189222, 31.851956242270663, 31.895257512459885]"
4019004647,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.58807783548744, 32.54477656529822, 32.45817402491977, 32.41487275473055, 32.45817402491977, 32.54477656529822, 32.58807783548744]"
4019004613,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.67468037586588, 32.631379105676665, 32.544776565298214, 32.501475295108996, 32.544776565298214, 32.631379105676665, 32.67468037586588]"
4019004614,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.761282916244326, 32.71798164605511, 32.63137910567666, 32.58807783548744, 32.63137910567666, 32.71798164605511, 32.761282916244326]"
4019004627,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.45817402491977, 32.41487275473055, 32.3282702143521, 32.284968944162884, 32.3282702143521, 32.41487275473055, 32.45817402491977]"
4019004630,"[-111.9663, -111.8913, -111.8913, -111.9663, -112.0413, -112.0413, -111.9663]","[32.84788545662277, 32.80458418643355, 32.7179816460551, 32.67468037586588, 32.7179816460551, 32.80458418643355, 32.84788545662277]"
4019004631,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.544776565298214, 32.501475295108996, 32.414872754730546, 32.37157148454133, 32.414872754730546, 32.501475295108996, 32.544776565298214]"
4019004632,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.37157148454133, 32.32827021435211, 32.24166767397366, 32.19836640378444, 32.24166767397366, 32.32827021435211, 32.37157148454133]"
4019004404,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.284968944162884, 32.241667673973666, 32.155065133595215, 32.111763863406, 32.155065133595215, 32.241667673973666, 32.284968944162884]"
4019004407,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.19836640378444, 32.15506513359522, 32.06846259321677, 32.025161323027554, 32.06846259321677, 32.15506513359522, 32.19836640378444]"
4019004413,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.111763863406, 32.06846259321678, 31.981860052838332, 31.93855878264911, 31.981860052838332, 32.06846259321678, 32.111763863406]"
4019004414,"[-112.04129999999999, -111.96629999999999, -111.96629999999999, -112.04129999999999, -112.1163, -112.1163, -112.04129999999999]","[32.63137910567666, 32.58807783548744, 32.50147529510899, 32.45817402491977, 32.50147529510899, 32.58807783548744, 32.63137910567666]"
